mois,month,departement,nb_cvts,ca_adm_ht,ca_alim_ht
February,2,Helio Industries,161,1250.17,1579.28
February,2,Altair Digital,217,1297.32,1217.77
February,2,Kairo Services,502,2825.72,3831.48
February,2,Lumen Logistics,478,3080.06,4094.05
February,2,Vertex Systems,651,4059.43,4153.58
February,2,Vertex Labs,711,4247.84,4311.71
February,2,Altair Group,574,4178.06,5755.47
February,2,Helio Holdings,380,1955.35,3230.75
February,2,Nova Systems,330,1829.37,1483.33
February,2,Vanta Labs,340,2825.87,2526.6
February,2,Kairo Partners,734,4039.4,5776.89
February,2,Helio Logistics,241,1596.36,1087.44
February,2,Astra Consulting,199,1464.17,1132.41
February,2,Helio Partners,565,2090.46,3064.0
February,2,Altair Digital,565,3590.46,6302.65
February,2,Altair Group,543,3209.39,4927.95
February,2,Cobalt Labs,651,3753.16,3197.75
February,2,Nexa Consulting,343,2609.45,1932.31
February,2,Cobalt Group,334,1343.99,1397.18
March,3,Orion Holdings,589,2020.15,3645.98
March,3,Helio Logistics,785,5920.47,7343.51
March,3,Vertex Systems,727,4152.94,7070.5
March,3,Kairo Holdings,175,1043.12,720.64
March,3,Astra Logistics,478,2069.98,3597.98
March,3,Kairo Partners,374,2240.3,2818.12
March,3,Nexa Consulting,109,821.59,433.81
March,3,Nexa Services,160,1161.31,1434.85
March,3,Cobalt Services,294,1859.79,2215.04
March,3,Cobalt Group,207,1255.03,1203.58
March,3,Nova Digital,261,1646.21,2724.14
March,3,Altair Solutions,257,1620.65,1132.6
March,3,Helio Holdings,783,6544.45,4365.62
March,3,Nova Services,696,3764.97,5809.2
March,3,Vertex Digital,790,5379.89,4142.76
March,3,Zenith Labs,445,2099.52,3659.58
March,3,Helio Industries,102,617.27,1031.26
March,3,Lumen Industries,740,4688.45,4404.3
March,3,Nova Holdings,624,5192.0,3554.23
March,3,Zenith Holdings,585,3149.66,4810.95
March,3,Vanta Logistics,341,2662.11,1427.85
March,3,Astra Consulting,565,3042.42,4436.16
March,3,Altair Group,422,1819.56,2113.0
March,3,Nova Digital,700,3677.73,4566.13
March,3,Astra Labs,177,755.29,1030.94
March,3,Altair Digital,577,3842.71,3411.68
March,3,Vertex Services,316,1648.54,1651.71
March,3,Altair Group,656,3927.97,4016.88
March,3,Astra Group,554,2085.49,2735.72
March,3,Helio Digital,212,1467.83,1794.39
March,3,Cobalt Labs,585,2771.08,4486.46
March,3,Vanta Labs,192,1264.7,1033.06
March,3,Astra Labs,636,1973.06,2574.13
March,3,Orion Solutions,219,1138.94,1522.98
March,3,Cobalt Logistics,381,1781.3,2123.95
April,4,Lumen Industries,360,1958.2,1534.33
April,4,Cobalt Logistics,92,451.57,617.49
April,4,Nova Systems,385,2401.01,3302.92
April,4,Vanta Labs,360,2548.12,3150.97
April,4,Vertex Industries,525,1665.51,2592.36
April,4,Astra Labs,235,747.47,1283.91
April,4,Vanta Group,672,4869.12,4123.28
April,4,Vanta Logistics,502,3718.5,2976.77
April,4,Vertex Digital,130,966.11,897.87
April,4,Nexa Consulting,324,2496.32,3294.83
April,4,Astra Labs,778,5819.8,5083.11
April,4,Kairo Holdings,621,3365.09,5920.8
April,4,Altair Digital,740,5002.96,6855.19
April,4,Kairo Labs,418,2427.6,3982.03
April,4,Nexa Consulting,385,2570.47,2060.43
April,4,Helio Partners,180,945.42,1031.16
April,4,Orion Solutions,616,4772.59,2496.75
April,4,Nova Digital,145,621.36,928.35
April,4,Vertex Solutions,142,653.21,1000.27
April,4,Kairo Services,586,2209.35,5117.39
April,4,Altair Holdings,252,1100.41,953.67
April,4,Zenith Labs,206,1193.48,980.47
April,4,Cobalt Group,388,2344.26,2547.82
April,4,Zenith Holdings,339,1571.09,1722.87
April,4,Astra Consulting,229,1776.92,1257.9
April,4,Nexa Services,609,2825.64,2794.45
April,4,Zenith Labs,683,4617.49,4747.34
April,4,Astra Consulting,443,1955.91,4271.56
April,4,Lumen Logistics,283,2064.53,1728.66
April,4,Cobalt Services,510,1788.02,4682.14
April,4,Altair Solutions,485,3894.71,3661.46
April,4,Helio Industries,127,437.83,1046.49
April,4,Helio Digital,540,1592.96,4379.82
April,4,Cobalt Services,760,6288.7,3160.86
April,4,Kairo Partners,728,5112.91,6331.77
May,5,Zenith Labs,511,2577.83,3748.73
May,5,Orion Solutions,481,3256.29,2305.24
May,5,Orion Holdings,562,3574.4,4272.44
May,5,Vertex Industries,566,3615.17,4393.54
May,5,Cobalt Group,443,3913.63,2730.0
May,5,Nova Systems,557,3731.55,2892.58
May,5,Vertex Services,332,1493.04,2171.39
May,5,Nexa Consulting,112,784.18,894.5
May,5,Cobalt Services,792,6018.77,8230.01
May,5,Zenith Labs,383,2810.85,1868.82
May,5,Orion Digital,284,1813.87,2371.81
May,5,Cobalt Logistics,230,1442.39,1976.43
May,5,Cobalt Labs,541,1526.98,3796.79
May,5,Altair Digital,424,2418.27,2187.27
May,5,Lumen Logistics,464,2852.14,3935.73
May,5,Vanta Group,583,4949.86,3709.42
May,5,Orion Logistics,569,4958.06,3126.82
May,5,Nexa Consulting,780,6540.23,7109.81
May,5,Nexa Services,494,1526.82,3727.43
May,5,Nova Holdings,778,3490.81,4647.63
May,5,Astra Consulting,781,3669.49,3381.73
May,5,Helio Logistics,714,3248.0,3626.65
May,5,Altair Group,399,2045.8,1598.36
May,5,Kairo Holdings,594,2172.2,3099.17
May,5,Nova Digital,469,3333.11,3780.39
May,5,Vertex Labs,248,1977.72,2008.76
May,5,Vertex Industries,376,1189.49,2685.02
May,5,Helio Industries,461,1653.57,4271.27
May,5,Altair Solutions,457,1777.98,2980.72
May,5,Astra Group,555,2033.77,3411.93
May,5,Kairo Group,141,824.53,788.73
May,5,Kairo Partners,160,1136.98,1279.46
May,5,Astra Labs,328,1711.6,1343.03
May,5,Kairo Labs,238,2001.03,1474.1
May,5,Cobalt Group,116,469.3,731.41
June,6,Vertex Labs,165,1048.66,851.53
June,6,Astra Group,729,4109.52,6127.95
June,6,Cobalt Group,633,2740.58,4839.67
June,6,Vanta Group,207,1584.0,1729.57
June,6,Lumen Foods,310,1522.05,3138.67
June,6,Nova Labs,498,2424.7,2438.91
June,6,Cobalt Logistics,473,3503.88,3244.41
June,6,Cobalt Labs,177,670.98,909.57
June,6,Cobalt Group,659,2255.27,6619.04
June,6,Vertex Services,510,2605.16,4507.19
June,6,Astra Consulting,142,1016.68,1091.12
June,6,Kairo Partners,307,1301.05,1986.1
June,6,Kairo Group,659,3223.22,6115.72
June,6,Nexa Labs,664,5221.48,6067.95
June,6,Astra Consulting,116,727.63,760.1
June,6,Nexa Consulting,369,2203.2,1792.12
June,6,Altair Solutions,236,1178.04,1569.07
June,6,Astra Labs,121,405.39,844.38
June,6,Helio Digital,251,1313.71,2097.49
June,6,Altair Holdings,176,1367.62,741.3
June,6,Orion Logistics,173,745.44,1328.07
June,6,Orion Logistics,369,1422.19,2236.08
June,6,Altair Partners,784,5141.95,4532.41
June,6,Nexa Consulting,494,3382.47,2509.15
June,6,Kairo Holdings,230,1320.96,1317.13
June,6,Astra Logistics,530,2202.47,3309.31
June,6,Zenith Labs,774,5907.79,2942.78
June,6,Nova Digital,109,530.17,482.8
June,6,Helio Industries,504,2778.79,2720.94
June,6,Kairo Services,422,1609.96,4242.58
June,6,Nexa Partners,460,1461.12,4199.65
June,6,Lumen Logistics,626,2332.67,5102.65
June,6,Nova Holdings,262,907.34,1799.46
June,6,Nexa Holdings,447,2202.63,3736.42
June,6,Vanta Logistics,195,756.91,1106.67
July,7,Astra Labs,684,4372.86,5757.15
July,7,Astra Group,675,4070.92,3515.21
July,7,Helio Digital,153,879.24,1545.33
July,7,Altair Solutions,176,868.9,873.84
July,7,Nexa Digital,539,2822.75,4642.67
July,7,Zenith Labs,486,2491.36,3208.01
July,7,Orion Holdings,752,3541.91,4307.33
July,7,Orion Logistics,348,2541.47,3060.92
July,7,Astra Consulting,431,1699.01,3160.53
July,7,Cobalt Group,761,4947.33,5519.8
July,7,Vertex Services,407,2166.03,2745.44
July,7,Lumen Industries,791,6096.72,3670.44
July,7,Nexa Consulting,108,462.69,637.02
July,7,Kairo Holdings,587,2050.96,5317.27
July,7,Altair Digital,193,1130.62,1391.08
July,7,Vertex Systems,767,3102.69,6186.32
July,7,Astra Consulting,256,1043.37,2331.31
July,7,Helio Industries,538,1894.95,3841.57
July,7,Zenith Labs,715,3083.57,6017.8
July,7,Nexa Labs,406,3478.35,3098.39
July,7,Kairo Services,784,5759.45,7001.67
July,7,Astra Labs,481,2295.4,2788.72
July,7,Astra Logistics,709,2759.69,4405.16
July,7,Zenith Labs,657,4877.93,4645.7
July,7,Vertex Labs,175,1313.83,867.82
July,7,Altair Holdings,537,2081.58,5609.29
July,7,Kairo Group,117,558.56,712.39
July,7,Orion Digital,173,953.41,822.12
July,7,Kairo Partners,755,2939.16,4246.92
July,7,Altair Digital,573,3854.44,2748.54
July,7,Altair Holdings,95,622.16,351.85
July,7,Vertex Solutions,713,3643.94,3141.38
July,7,Kairo Partners,138,600.28,904.21
July,7,Zenith Holdings,601,3520.69,2297.75
July,7,Cobalt Labs,237,994.55,997.29
August,8,Kairo Group,580,2955.35,5505.9
August,8,Helio Logistics,558,1991.06,3306.87
August,8,Nexa Consulting,413,3557.08,2935.77
August,8,Orion Logistics,349,1049.44,3038.0
August,8,Nova Systems,138,850.37,786.89
August,8,Vanta Logistics,499,3119.64,5300.66
August,8,Vertex Labs,598,4128.22,3396.26
August,8,Zenith Holdings,174,1157.72,877.87
August,8,Kairo Partners,648,2701.96,2820.05
August,8,Vertex Services,546,3403.74,3370.25
August,8,Helio Digital,133,888.37,1201.51
August,8,Orion Holdings,744,4830.96,7356.11
August,8,Vertex Industries,462,2222.14,3231.38
August,8,Orion Logistics,712,3852.66,4256.27
August,8,Lumen Foods,750,3655.57,4862.2
August,8,Cobalt Labs,785,3965.57,4157.99
August,8,Nova Digital,230,1333.74,1334.35
August,8,Astra Group,206,662.06,1210.44
August,8,Altair Digital,210,882.81,1367.31
August,8,Cobalt Group,382,2151.98,3254.46
August,8,Altair Holdings,165,835.45,1299.56
August,8,Kairo Labs,788,6280.27,8158.26
August,8,Nexa Consulting,653,4077.81,6389.5
August,8,Altair Partners,743,2610.04,5315.93
August,8,Zenith Labs,232,920.81,1636.75
August,8,Vanta Group,568,3999.37,3516.6
August,8,Astra Consulting,406,1979.55,3204.85
August,8,Helio Holdings,509,4062.44,2410.24
August,8,Vertex Digital,550,2508.4,4292.75
August,8,Altair Solutions,654,4568.5,3275.15
August,8,Kairo Partners,146,941.35,906.72
August,8,Nova Services,320,1696.3,3364.87
August,8,Nova Holdings,346,1271.16,3424.23
August,8,Nexa Systems,719,3529.8,5736.71
August,8,Astra Logistics,247,1085.6,1777.9
September,9,Altair Digital,416,3124.3,3254.74
September,9,Helio Industries,469,2330.79,1919.61
September,9,Helio Logistics,550,2153.98,2454.1
September,9,Orion Logistics,720,4097.53,7593.8
September,9,Cobalt Group,681,3852.15,4117.18
September,9,Nova Digital,568,2556.17,3821.03
September,9,Nova Labs,607,3236.22,2801.96
September,9,Altair Holdings,378,2131.89,3395.59
September,9,Orion Holdings,639,1740.4,2765.3
September,9,Nova Digital,464,2957.67,2928.25
September,9,Nexa Holdings,289,1318.68,1627.04
September,9,Astra Labs,653,3026.07,5496.01
September,9,Lumen Industries,189,873.76,1864.94
September,9,Nova Services,237,946.4,1395.45
September,9,Orion Digital,230,1473.95,1747.44
September,9,Zenith Labs,617,2152.86,5558.43
September,9,Kairo Holdings,721,4414.52,4640.1
September,9,Vertex Services,635,3358.31,3856.35
September,9,Kairo Labs,429,2728.29,4547.14
September,9,Cobalt Services,794,4366.12,6242.18
September,9,Nexa Partners,682,4025.86,4943.17
September,9,Helio Digital,734,4506.44,6897.25
September,9,Astra Logistics,338,943.56,2668.15
September,9,Cobalt Group,411,1849.67,2643.58
September,9,Altair Group,716,5663.88,5493.34
September,9,Zenith Labs,231,1477.8,1665.13
September,9,Nexa Consulting,475,2450.32,2281.43
September,9,Astra Consulting,452,2971.73,4485.51
September,9,Vanta Logistics,360,1936.53,1903.22
September,9,Altair Holdings,320,2593.42,3299.77
September,9,Cobalt Labs,796,4776.09,5380.31
September,9,Cobalt Services,370,1652.92,3079.86
September,9,Helio Holdings,494,3735.75,4348.77
September,9,Astra Labs,384,3288.79,1838.45
September,9,Vertex Industries,580,2171.85,5192.88
October,10,Nova Services,637,3476.77,6480.66
October,10,Vertex Systems,517,4222.89,3078.88
October,10,Cobalt Services,496,3610.85,2879.31
October,10,Vertex Services,386,2811.7,1387.85
October,10,Nexa Holdings,433,1927.89,4181.02
October,10,Vanta Group,227,1422.43,1327.31
October,10,Astra Consulting,256,1773.7,1655.82
October,10,Orion Holdings,435,3181.15,2823.97
October,10,Cobalt Logistics,744,5394.18,5599.12
October,10,Helio Industries,775,2703.13,8577.7
October,10,Vanta Logistics,96,446.26,601.85
October,10,Nova Digital,399,2111.7,2784.26
October,10,Helio Holdings,331,1039.27,1526.75
October,10,Nexa Services,604,4837.12,5856.74
October,10,Nexa Consulting,744,5644.28,3876.64
October,10,Altair Solutions,226,1392.62,1441.28
October,10,Cobalt Services,652,5239.82,6063.67
October,10,Kairo Partners,343,2340.2,2580.69
October,10,Nova Systems,630,4069.56,2432.35
October,10,Altair Group,650,4764.63,3015.65
October,10,Helio Partners,622,3415.84,4916.84
October,10,Helio Logistics,612,2744.87,2623.14
October,10,Zenith Labs,667,2462.22,4814.4
October,10,Zenith Labs,495,1900.51,1740.8
October,10,Kairo Partners,523,2850.92,2678.39
October,10,Astra Labs,160,1131.09,963.59
October,10,Orion Logistics,228,1581.53,2132.68
October,10,Vanta Labs,481,2370.71,3819.88
October,10,Orion Digital,767,6123.3,3235.35
October,10,Vertex Industries,640,3639.68,3436.0
October,10,Nova Labs,113,921.63,738.61
October,10,Kairo Services,478,3112.6,2425.55
October,10,Altair Digital,205,686.77,1842.34
October,10,Astra Labs,106,457.85,466.13
October,10,Lumen Industries,778,5319.9,3289.72
November,11,Astra Logistics,442,3598.77,3269.33
November,11,Lumen Logistics,516,2282.22,3026.66
November,11,Nexa Consulting,336,2516.04,2150.57
November,11,Vertex Systems,149,861.2,1245.93
November,11,Vanta Logistics,338,1230.37,1980.56
November,11,Astra Consulting,469,1468.64,3535.2
November,11,Orion Logistics,779,3902.62,3717.9
November,11,Altair Holdings,691,4402.16,5642.19
November,11,Zenith Labs,430,1734.29,3546.68
November,11,Orion Logistics,210,1562.96,1871.2
November,11,Astra Labs,299,1377.11,1508.62
November,11,Vertex Industries,567,2883.59,3488.26
November,11,Altair Solutions,599,3367.11,5628.5
November,11,Vertex Solutions,417,2951.54,2636.27
November,11,Kairo Partners,316,2089.47,1362.5
November,11,Cobalt Services,517,2082.25,2755.66
November,11,Vertex Industries,341,1949.66,2436.38
November,11,Lumen Industries,590,4430.21,4037.52
November,11,Kairo Labs,450,1728.16,4195.13
November,11,Kairo Holdings,645,4969.95,6834.36
November,11,Astra Labs,166,1345.55,1266.87
November,11,Altair Partners,735,2534.4,5955.34
November,11,Cobalt Group,472,1817.55,4144.04
November,11,Cobalt Logistics,765,4145.64,2637.46
November,11,Nova Digital,632,3753.77,4503.39
November,11,Altair Digital,780,3515.26,8376.52
November,11,Nexa Consulting,626,2376.15,3593.1
November,11,Helio Industries,363,2831.02,1626.9
November,11,Helio Partners,339,2753.6,2037.91
November,11,Vertex Digital,759,4877.27,5702.12
November,11,Nexa Systems,476,2228.74,1866.29
November,11,Zenith Labs,601,3949.94,5406.9
November,11,Zenith Labs,187,1222.54,1973.5
November,11,Nexa Holdings,798,4834.98,4624.49
November,11,Orion Solutions,377,2288.77,3145.0
December,12,Orion Holdings,739,3193.82,6812.35
December,12,Vertex Labs,474,2533.48,3227.78
December,12,Nova Digital,723,2741.04,3654.36
December,12,Orion Digital,479,3294.5,3445.57
December,12,Altair Digital,199,682.8,2040.99
December,12,Astra Labs,194,702.63,1019.04
December,12,Vertex Solutions,507,1833.92,2412.12
December,12,Helio Logistics,422,2891.19,1927.29
December,12,Astra Labs,662,4917.62,5646.66
December,12,Kairo Labs,479,1701.32,2364.85
December,12,Lumen Industries,261,1318.73,1445.6
December,12,Nova Labs,347,2574.59,2945.79
December,12,Nova Holdings,558,2296.33,3060.19
December,12,Zenith Holdings,725,3428.31,6342.55
December,12,Cobalt Services,756,5371.49,4241.76
December,12,Nova Services,295,1504.74,1411.98
December,12,Helio Holdings,738,3594.15,5192.27
December,12,Astra Labs,492,2101.25,5383.91
December,12,Orion Solutions,274,1967.72,1947.27
December,12,Cobalt Labs,304,1651.64,1935.81
December,12,Nova Systems,508,2927.65,2271.83
December,12,Altair Group,247,1345.35,2465.25
December,12,Orion Logistics,580,3824.31,4645.92
December,12,Altair Digital,518,2753.06,5031.54
December,12,Nexa Labs,639,3219.59,5405.49
December,12,Astra Group,770,3063.97,6950.66
December,12,Helio Industries,783,4470.73,8234.37
December,12,Vanta Group,198,620.74,1107.67
December,12,Lumen Logistics,684,4089.18,3610.59
December,12,Cobalt Logistics,785,4304.44,4551.22
December,12,Cobalt Group,197,750.59,2037.09
December,12,Zenith Labs,235,1206.98,1428.22
December,12,Nexa Partners,446,2508.96,2749.09
December,12,Vertex Industries,397,1090.25,3046.03
December,12,Nova Digital,201,1451.72,921.99
